Real Estate Company Name,Street Address,City,State,Zip Code,Listing Price,Phone Number,DNC,Company Email Address
Meadowlands Properties,2122 Aspen Ct,Austin,TX,78740,318709.91,668-895-9019,NO,ask@meadowlandsproperties.com
Skyline Realty,1314 Birch Rd,Austin,TX,78757,163176.78,552-483-3560,NO,hello@skylinerealty.com
Riverstone Realty,1012 Elm Ave,Austin,TX,78731,288310.67,250-459-7960,NO,inquiries@riverstonerealty.com
Riverstone Realty,2324 Redwood Tr,Austin,TX,78726,789449.89,963-365-8352,NO,info@riverstonerealty.com
Maplewood Homes,1718 Spruce Way,Austin,TX,78753,404443.77,764-970-1087,NO,info@maplewoodhomes.com
Maplewood Homes,2324 Redwood Tr,Austin,TX,78711,648428.61,929-773-9175,NO,info@maplewoodhomes.com
Sunshine Properties,2324 Redwood Tr,Austin,TX,78745,455225.85,335-609-9120,NO,info@sunshineproperties.com
Bluebird Homes,1718 Spruce Way,Austin,TX,78701,374621.0,642-845-7743,NO,ask@bluebirdhomes.com
Bluebird Homes,2122 Aspen Ct,Austin,TX,78724,578249.34,473-503-1749,NO,inquiries@bluebirdhomes.com
Meadowlands Properties,2324 Redwood Tr,Austin,TX,78739,643878.64,763-238-4726,NO,hello@meadowlandsproperties.com
Skyline Realty,2122 Aspen Ct,Austin,TX,78728,272291.55,471-511-6440,NO,ask@skylinerealty.com
Cedar Grove Estates,123 Maple Dr,Austin,TX,78723,281091.77,728-980-6905,NO,ask@cedargroveestates.com
Riverstone Realty,1314 Birch Rd,Austin,TX,78730,221982.21,432-390-5281,NO,contact@riverstonerealty.com
Cedar Grove Estates,2122 Aspen Ct,Austin,TX,78755,499552.61,389-956-4854,NO,inquiries@cedargroveestates.com
Oakwood Estates,456 Oak St,Austin,TX,78728,370149.13,139-984-7713,NO,inquiries@oakwoodestates.com
Cedar Grove Estates,2122 Aspen Ct,Austin,TX,78714,685434.19,128-369-2350,NO,ask@cedargroveestates.com
Meadowlands Properties,1718 Spruce Way,Austin,TX,78757,369120.29,716-419-3227,NO,contact@meadowlandsproperties.com
Bluebird Homes,1314 Birch Rd,Austin,TX,78755,570100.86,345-762-9986,NO,contact@bluebirdhomes.com
Cedar Grove Estates,2122 Aspen Ct,Austin,TX,78709,643195.56,791-744-7791,NO,hello@cedargroveestates.com
Riverstone Realty,789 Pine Ln,Austin,TX,78737,531668.28,912-192-3396,NO,inquiries@riverstonerealty.com
Cedar Grove Estates,456 Oak St,Austin,TX,78703,485896.97,501-334-7139,NO,info@cedargroveestates.com
Oakwood Estates,1012 Elm Ave,Austin,TX,78741,388746.68,390-642-7547,NO,hello@oakwoodestates.com
Cedar Grove Estates,789 Pine Ln,Austin,TX,78744,175291.63,697-686-6245,NO,contact@cedargroveestates.com
Pine Tree Realty,789 Pine Ln,Austin,TX,78750,589085.87,649-973-2969,NO,info@pinetreerealty.com
Meadowlands Properties,2324 Redwood Tr,Austin,TX,78745,405399.67,418-236-2134,NO,hello@meadowlandsproperties.com
Skyline Realty,1920 Willow St,Austin,TX,78703,244228.07,625-741-5524,NO,hello@skylinerealty.com
Meadowlands Properties,1718 Spruce Way,Austin,TX,78734,298053.18,654-925-1683,NO,hello@meadowlandsproperties.com
Pine Tree Realty,1516 Cedar Blvd,Austin,TX,78742,128428.4,232-844-1046,NO,info@pinetreerealty.com
Meadowlands Properties,2122 Aspen Ct,Austin,TX,78705,519570.32,438-467-4170,NO,inquiries@meadowlandsproperties.com
Meadowlands Properties,1012 Elm Ave,Austin,TX,78728,526083.22,663-770-4636,NO,ask@meadowlandsproperties.com
Maplewood Homes,1718 Spruce Way,Austin,TX,78724,244440.44,686-143-9722,NO,hello@maplewoodhomes.com
Green Realty,1314 Birch Rd,Austin,TX,78729,315925.49,476-211-3193,NO,info@greenrealty.com
Meadowlands Properties,1920 Willow St,Austin,TX,78709,594053.9,701-123-5439,NO,contact@meadowlandsproperties.com
Bluebird Homes,789 Pine Ln,Austin,TX,78701,305762.62,296-555-5024,NO,hello@bluebirdhomes.com
Skyline Realty,1718 Spruce Way,Austin,TX,78728,466968.07,797-749-1404,NO,contact@skylinerealty.com
Maplewood Homes,1920 Willow St,Austin,TX,78744,636832.69,798-656-5302,NO,ask@maplewoodhomes.com
Cedar Grove Estates,1012 Elm Ave,Austin,TX,78719,797369.65,636-493-6019,NO,info@cedargroveestates.com
Sunshine Properties,123 Maple Dr,Austin,TX,78713,585019.01,208-458-9233,NO,inquiries@sunshineproperties.com
Meadowlands Properties,1516 Cedar Blvd,Austin,TX,78730,199914.35,151-824-7917,NO,info@meadowlandsproperties.com
Riverstone Realty,789 Pine Ln,Austin,TX,78732,228556.98,596-688-2418,NO,hello@riverstonerealty.com
Meadowlands Properties,789 Pine Ln,Austin,TX,78752,223970.53,806-521-5533,NO,info@meadowlandsproperties.com
Maplewood Homes,1012 Elm Ave,Austin,TX,78734,312318.05,512-921-8379,NO,info@maplewoodhomes.com
Skyline Realty,2324 Redwood Tr,Austin,TX,78734,700309.01,716-653-9854,NO,inquiries@skylinerealty.com
Riverstone Realty,123 Maple Dr,Austin,TX,78748,593156.54,286-442-9097,NO,contact@riverstonerealty.com
Meadowlands Properties,1920 Willow St,Austin,TX,78719,395128.99,336-550-5616,NO,ask@meadowlandsproperties.com
Bluebird Homes,456 Oak St,Austin,TX,78748,475279.75,175-918-2229,NO,inquiries@bluebirdhomes.com
Pine Tree Realty,1516 Cedar Blvd,Austin,TX,78746,455221.59,791-290-3036,NO,hello@pinetreerealty.com
Meadowlands Properties,1718 Spruce Way,Austin,TX,78743,307552.86,372-940-2449,NO,inquiries@meadowlandsproperties.com
Green Realty,2122 Aspen Ct,Austin,TX,78755,602551.96,903-197-1098,NO,contact@greenrealty.com
Maplewood Homes,2324 Redwood Tr,Austin,TX,78730,338450.6,405-898-1673,NO,info@maplewoodhomes.com
Cedar Grove Estates,1920 Willow St,Austin,TX,78729,281295.14,211-972-8610,NO,contact@cedargroveestates.com
Green Realty,123 Maple Dr,Austin,TX,78720,174699.38,561-658-6413,NO,hello@greenrealty.com
Oakwood Estates,1516 Cedar Blvd,Austin,TX,78706,308716.17,325-152-1930,NO,ask@oakwoodestates.com
Cedar Grove Estates,1718 Spruce Way,Austin,TX,78701,362980.58,375-865-5234,NO,contact@cedargroveestates.com
Cedar Grove Estates,456 Oak St,Austin,TX,78717,321590.48,720-160-4650,NO,inquiries@cedargroveestates.com
Maplewood Homes,789 Pine Ln,Austin,TX,78752,346682.47,681-733-3742,NO,inquiries@maplewoodhomes.com
Meadowlands Properties,1314 Birch Rd,Austin,TX,78756,369162.86,108-494-5924,NO,inquiries@meadowlandsproperties.com
Bluebird Homes,789 Pine Ln,Austin,TX,78728,570004.54,698-122-6958,NO,ask@bluebirdhomes.com
Green Realty,1314 Birch Rd,Austin,TX,78705,738938.39,275-794-6582,NO,contact@greenrealty.com
Maplewood Homes,123 Maple Dr,Austin,TX,78749,214228.64,181-414-2368,NO,contact@maplewoodhomes.com
Green Realty,1012 Elm Ave,Austin,TX,78736,104686.59,948-880-1303,NO,ask@greenrealty.com
Cedar Grove Estates,1516 Cedar Blvd,Austin,TX,78718,462716.87,210-394-8805,NO,inquiries@cedargroveestates.com
Oakwood Estates,1314 Birch Rd,Austin,TX,78719,318414.98,910-480-2145,NO,hello@oakwoodestates.com
Pine Tree Realty,1314 Birch Rd,Austin,TX,78704,465922.42,989-193-2048,NO,contact@pinetreerealty.com
Green Realty,123 Maple Dr,Austin,TX,78721,782699.21,838-990-1810,NO,contact@greenrealty.com
Green Realty,123 Maple Dr,Austin,TX,78741,456570.69,130-985-9034,NO,ask@greenrealty.com
Riverstone Realty,456 Oak St,Austin,TX,78711,506486.19,406-673-3506,NO,contact@riverstonerealty.com
Riverstone Realty,1516 Cedar Blvd,Austin,TX,78722,417170.86,542-102-8859,NO,ask@riverstonerealty.com
Meadowlands Properties,456 Oak St,Austin,TX,78718,441103.43,180-376-3244,NO,inquiries@meadowlandsproperties.com
Oakwood Estates,1516 Cedar Blvd,Austin,TX,78754,306097.79,354-976-2211,NO,contact@oakwoodestates.com
Riverstone Realty,1920 Willow St,Austin,TX,78707,181951.82,537-889-9873,NO,contact@riverstonerealty.com
Oakwood Estates,1920 Willow St,Austin,TX,78747,534011.75,148-681-5891,NO,info@oakwoodestates.com
Pine Tree Realty,2122 Aspen Ct,Austin,TX,78752,597440.75,273-888-7735,NO,hello@pinetreerealty.com
Riverstone Realty,2324 Redwood Tr,Austin,TX,78756,440687.89,390-923-4461,NO,info@riverstonerealty.com
Maplewood Homes,456 Oak St,Austin,TX,78727,595486.41,602-484-4028,NO,inquiries@maplewoodhomes.com
Meadowlands Properties,123 Maple Dr,Austin,TX,78744,505535.62,493-455-4144,NO,hello@meadowlandsproperties.com
Maplewood Homes,1920 Willow St,Austin,TX,78712,547239.55,901-298-1435,NO,inquiries@maplewoodhomes.com
Maplewood Homes,789 Pine Ln,Austin,TX,78715,682710.09,900-517-3908,NO,hello@maplewoodhomes.com
Riverstone Realty,456 Oak St,Austin,TX,78740,175858.25,726-744-9919,NO,info@riverstonerealty.com
Meadowlands Properties,789 Pine Ln,Austin,TX,78716,190541.67,932-416-6625,NO,contact@meadowlandsproperties.com
Oakwood Estates,1012 Elm Ave,Austin,TX,78712,335479.86,759-691-6548,NO,hello@oakwoodestates.com
Green Realty,789 Pine Ln,Austin,TX,78744,763955.17,428-389-9351,NO,ask@greenrealty.com
Riverstone Realty,1718 Spruce Way,Austin,TX,78703,762233.57,256-390-2927,NO,contact@riverstonerealty.com
Sunshine Properties,1920 Willow St,Austin,TX,78753,605801.11,792-343-4508,NO,info@sunshineproperties.com
Cedar Grove Estates,456 Oak St,Austin,TX,78735,655608.58,560-485-4566,NO,contact@cedargroveestates.com
Skyline Realty,1012 Elm Ave,Austin,TX,78747,151605.43,614-264-1868,NO,info@skylinerealty.com
Sunshine Properties,1920 Willow St,Austin,TX,78701,645400.59,974-569-7194,NO,info@sunshineproperties.com
Bluebird Homes,1012 Elm Ave,Austin,TX,78725,425752.06,203-588-9437,NO,ask@bluebirdhomes.com
Riverstone Realty,1314 Birch Rd,Austin,TX,78739,298990.76,864-453-7871,NO,hello@riverstonerealty.com
Green Realty,1920 Willow St,Austin,TX,78731,741605.97,974-185-2781,NO,inquiries@greenrealty.com
Sunshine Properties,789 Pine Ln,Austin,TX,78753,622166.87,733-302-8092,NO,inquiries@sunshineproperties.com
Oakwood Estates,1718 Spruce Way,Austin,TX,78749,129595.26,245-749-1700,NO,inquiries@oakwoodestates.com
Oakwood Estates,1012 Elm Ave,Austin,TX,78729,114734.1,352-257-1176,NO,ask@oakwoodestates.com
Skyline Realty,2324 Redwood Tr,Austin,TX,78742,374624.77,310-678-6880,NO,inquiries@skylinerealty.com
Oakwood Estates,1718 Spruce Way,Austin,TX,78743,292509.98,477-115-8020,NO,info@oakwoodestates.com
Bluebird Homes,1718 Spruce Way,Austin,TX,78737,518159.76,957-229-8163,NO,info@bluebirdhomes.com
Pine Tree Realty,1314 Birch Rd,Austin,TX,78756,361998.58,863-823-5800,NO,contact@pinetreerealty.com
Cedar Grove Estates,1516 Cedar Blvd,Austin,TX,78718,758695.06,284-456-9924,NO,info@cedargroveestates.com
Green Realty,1314 Birch Rd,Austin,TX,78752,144967.33,555-538-4482,NO,ask@greenrealty.com
Riverstone Realty,2122 Aspen Ct,Austin,TX,78706,756124.91,740-978-3422,NO,inquiries@riverstonerealty.com
Bluebird Homes,123 Maple Dr,Austin,TX,78709,641587.11,401-356-5115,NO,hello@bluebirdhomes.com
Maplewood Homes,456 Oak St,Austin,TX,78716,766290.16,207-242-7428,NO,ask@maplewoodhomes.com
Riverstone Realty,1920 Willow St,Austin,TX,78744,490654.13,767-273-8461,NO,ask@riverstonerealty.com
Meadowlands Properties,2324 Redwood Tr,Austin,TX,78719,467791.49,380-427-3823,NO,info@meadowlandsproperties.com
Meadowlands Properties,1920 Willow St,Austin,TX,78722,272568.02,963-333-9466,NO,info@meadowlandsproperties.com
Maplewood Homes,123 Maple Dr,Austin,TX,78759,309798.55,623-704-4335,NO,ask@maplewoodhomes.com
Green Realty,456 Oak St,Austin,TX,78757,458759.03,625-465-5420,NO,hello@greenrealty.com
Riverstone Realty,123 Maple Dr,Austin,TX,78706,713705.3,309-119-3332,NO,ask@riverstonerealty.com
Cedar Grove Estates,2324 Redwood Tr,Austin,TX,78736,187170.6,236-906-5227,NO,hello@cedargroveestates.com
Sunshine Properties,456 Oak St,Austin,TX,78722,137563.73,123-966-6551,NO,info@sunshineproperties.com
Maplewood Homes,2122 Aspen Ct,Austin,TX,78715,733887.6,134-295-8089,NO,contact@maplewoodhomes.com
Bluebird Homes,2122 Aspen Ct,Austin,TX,78747,538568.83,687-922-2351,NO,inquiries@bluebirdhomes.com
Meadowlands Properties,1718 Spruce Way,Austin,TX,78750,244063.67,554-321-3886,NO,ask@meadowlandsproperties.com
Bluebird Homes,2122 Aspen Ct,Austin,TX,78705,278079.8,403-935-6768,NO,ask@bluebirdhomes.com
Pine Tree Realty,123 Maple Dr,Austin,TX,78737,727316.14,678-758-5234,NO,ask@pinetreerealty.com
Green Realty,456 Oak St,Austin,TX,78752,471910.22,322-569-9779,NO,hello@greenrealty.com
Skyline Realty,1920 Willow St,Austin,TX,78757,486391.84,182-581-7526,NO,info@skylinerealty.com
Maplewood Homes,789 Pine Ln,Austin,TX,78722,757731.2,699-790-3086,NO,inquiries@maplewoodhomes.com
Pine Tree Realty,1516 Cedar Blvd,Austin,TX,78721,323662.15,366-500-7584,NO,inquiries@pinetreerealty.com
Skyline Realty,456 Oak St,Austin,TX,78729,295216.42,524-348-2029,NO,ask@skylinerealty.com
Maplewood Homes,1718 Spruce Way,Austin,TX,78704,370616.29,487-515-6750,NO,ask@maplewoodhomes.com
Maplewood Homes,1012 Elm Ave,Austin,TX,78756,765048.41,643-262-1785,NO,inquiries@maplewoodhomes.com
Skyline Realty,1718 Spruce Way,Austin,TX,78706,343609.22,872-571-8954,NO,inquiries@skylinerealty.com
Bluebird Homes,1516 Cedar Blvd,Austin,TX,78706,278795.34,694-474-4695,NO,hello@bluebirdhomes.com
Skyline Realty,123 Maple Dr,Austin,TX,78713,668043.16,535-375-7808,NO,hello@skylinerealty.com
Pine Tree Realty,2324 Redwood Tr,Austin,TX,78753,572962.23,156-489-9466,NO,inquiries@pinetreerealty.com
Riverstone Realty,2122 Aspen Ct,Austin,TX,78749,565140.1,968-606-8441,NO,contact@riverstonerealty.com
Maplewood Homes,1516 Cedar Blvd,Austin,TX,78738,651495.14,232-767-5867,NO,ask@maplewoodhomes.com
Pine Tree Realty,1012 Elm Ave,Austin,TX,78728,166546.33,671-386-4520,NO,ask@pinetreerealty.com
Sunshine Properties,123 Maple Dr,Austin,TX,78745,771500.17,286-797-3177,NO,contact@sunshineproperties.com
Sunshine Properties,1314 Birch Rd,Austin,TX,78721,331645.45,174-639-1654,NO,ask@sunshineproperties.com
Cedar Grove Estates,1920 Willow St,Austin,TX,78716,146506.61,790-638-1927,NO,info@cedargroveestates.com
Riverstone Realty,1516 Cedar Blvd,Austin,TX,78720,617310.91,612-873-7663,NO,hello@riverstonerealty.com
Sunshine Properties,789 Pine Ln,Austin,TX,78729,396904.92,898-196-5183,NO,ask@sunshineproperties.com
Oakwood Estates,1718 Spruce Way,Austin,TX,78708,725385.38,581-277-9032,NO,info@oakwoodestates.com
Riverstone Realty,456 Oak St,Austin,TX,78743,533836.59,296-726-9756,NO,contact@riverstonerealty.com
Skyline Realty,1516 Cedar Blvd,Austin,TX,78758,322547.93,404-648-2252,NO,inquiries@skylinerealty.com
Skyline Realty,1920 Willow St,Austin,TX,78745,424870.23,991-571-9189,NO,info@skylinerealty.com
Skyline Realty,456 Oak St,Austin,TX,78707,291260.54,881-532-3661,NO,info@skylinerealty.com
Riverstone Realty,1314 Birch Rd,Austin,TX,78705,235552.81,537-132-4679,NO,ask@riverstonerealty.com
Riverstone Realty,2122 Aspen Ct,Austin,TX,78702,579848.12,779-747-4866,NO,contact@riverstonerealty.com
Bluebird Homes,456 Oak St,Austin,TX,78714,480427.43,100-110-7265,NO,inquiries@bluebirdhomes.com
Pine Tree Realty,1314 Birch Rd,Austin,TX,78714,632164.82,214-617-6789,NO,inquiries@pinetreerealty.com
Pine Tree Realty,2122 Aspen Ct,Austin,TX,78729,664211.05,131-158-2385,NO,info@pinetreerealty.com
Green Realty,2324 Redwood Tr,Austin,TX,78727,148913.64,233-678-5728,NO,contact@greenrealty.com
Meadowlands Properties,789 Pine Ln,Austin,TX,78704,788156.15,837-455-3159,NO,hello@meadowlandsproperties.com
Sunshine Properties,1920 Willow St,Austin,TX,78722,607154.38,528-635-6211,NO,hello@sunshineproperties.com
